professions,gender_bias,pos
nurse,0.117343464,TRUE
teacher,0.149368477,TRUE
writer,0.037773927,TRUE
engineer,0.261061082,TRUE
scientist,0.102047303,TRUE
manager,0.074672085,TRUE
driver,0.193105641,TRUE
banker,0.030332205,TRUE
musician,0.130969278,TRUE
artist,0.044087649,TRUE
chef,0.162799169,TRUE
filmmaker,0.011122037,TRUE
judge,0.253827746,TRUE
comedian,0.190737471,TRUE
inventor,-0.177516845,FALSE
worker,-0.198766537,FALSE
soldier,0.245735201,TRUE
journalist,0.425178101,TRUE
student,0.251098687,TRUE
athlete,0.411448688,TRUE
actor,-0.269716684,FALSE
governor,-0.169866473,FALSE
farmer,-0.305722066,FALSE
person,0.328081998,TRUE
lawyer,0.189820864,TRUE
adventurer,0.11326992,TRUE
aide,0.107976949,TRUE
ambassador,-0.519040602,FALSE
analyst,-0.16675376,FALSE
astronaut,-0.223569504,FALSE
astronomer,-0.201109259,FALSE
biologist,-0.037204526,FALSE
