words,gender_bias,pos,expected_gender
(Jigéen) woman,0.533723473,TRUE,F
(Góor) man,0.397310772,TRUE,M
(Doom ju jigéen) daughter,0,TRUE,F
(Doom ju góor) son,0,TRUE,M
(Yaay) mother,0.190850832,TRUE,F
(Baay) father,0.765281786,TRUE,M
(Janxa) girl,0,TRUE,F
(Xale bu góor) boy,0,TRUE,M
(Jabari buur) queen,0,TRUE,F
(Buur) king,0.541209202,TRUE,M
(Jabar) wife,0.244363318,TRUE,F
(jëkkër) husband,0,TRUE,M
(Ndawsi) madam,0,TRUE,F
(Góorgui) sir,0,TRUE,M
