words,gender-bias,pos,expected_gender
woman,0.296776296,TRUE,F
man,-0.094811963,FALSE,M
daughter,0.353557911,TRUE,F
son,-0.174859498,FALSE,M
mother,-0.113595807,FALSE,F
father,0.095514115,TRUE,M
girl,0.353557911,TRUE,F
boy,-0.207888765,FALSE,M
queen,0.474050172,TRUE,F
king,-0.17157243,FALSE,M
wife,0.206763971,TRUE,F
husband,0.009192749,TRUE,M
madam,0.398787958,TRUE,F
sir,-0.194937495,FALSE,M
