id,Arabic-female,Arabic-group,Arabic-male,Arabic-neutral,Chinese-informal,Chinese-neutral,English-group,English-neutral,Farsi-group,Farsi-neutral,French-female,French-group,French-male,French-neutral,German-female,German-group,German-male,Spanish-female,Spanish-group,Spanish-male,Spanish-neutral,Urdu-english-arabic,Urdu-female,Urdu-group,Urdu-male,Urdu-neutral
0,-0.13091964553657545,-0.09539330085630601,0.102698422950452,,,-0.0010667738245375808,-0.2568900978958538,-0.321543733757515,-0.22940980620266518,-0.22618167586252547,-0.3448990725865607,-0.05258072263804261,0.11785503042346153,,0.3963364147443786,-0.003945746241935279,-0.003945746241935279,0.4726297513926519,0.11717449946951455,-0.052155799978123175,,0.21743162871151245,,0.04485343190193254,,0.21743162871151245
1,0.037037370774857185,0.15411581892801557,0.24982593676043913,,,0.19528780001428692,-0.06010893536477444,-0.0842912539237744,,-0.005606412293653997,-0.18306451370341612,0.06947596368903039,0.075123497237696,0.0657826599464337,0.3482721404189387,-0.20933589068249453,-0.20933589068249453,0.2587522734798986,-0.0002818349098343129,-0.1288844200224963,,,0.2472720180769912,0.02892233464330526,-0.09799869639818243,
2,-0.030103269142191084,0.0678530231382827,0.3466111526110197,,,0.10277659719654596,-0.03778042516330937,0.018041768109031582,-0.033811581598749404,0.06478853000377761,-0.39322514581742213,0.06776820048526451,0.14585514790045187,0.14585514790045187,0.3266842300344508,-0.0910480726470185,-0.22467330490653356,0.4784607683342085,-0.01832735465539262,-0.20228068495875323,,,,0.03300608516675784,-0.12265643748345893,
3,-0.050152779519889175,0.11974272284652247,0.2760855262276729,,,0.23291201906231815,0.27213253895729866,0.2579003142245566,0.17842987307408253,0.15638862186690583,-0.10898971543757043,0.08822238693018358,0.18684001212463652,,0.2895254062462207,-0.10220044803597719,-0.1959263197463072,0.4127863656248793,-0.05562644203249349,-0.2176017271570163,,,,0.022365822864829302,,0.022365822864829302
4,-0.002224625023300378,0.14659403555914266,0.16469318718226655,,,0.17254991820621404,0.04029692557347523,0.0818631534389434,0.16472449691109836,0.23419120642489819,,0.025169862657833365,,0.01083439502424083,0.3215810592102705,-0.05630844799851236,-0.05630844799851236,0.17514216872714095,0.025617486853277617,-0.06683077655742412,,,,-0.14012276715811767,,-0.14012276715811767
5,-0.2400851898250424,0.012667881131908896,0.040765549958431305,,,0.21922211754497797,0.08998242975058682,0.17836930751258706,0.08238750672963803,0.05493836062888575,-0.3769680972338869,0.13306770354957007,0.19848828843239377,,0.3066695453961718,-0.19134053557351974,-0.19134053557351974,,-0.02816278660362095,,-0.08034846302549835,-0.007173738570522254,,-0.03783554264557736,-0.13341437234070944,
6,-0.1377113571778746,0.015181878274856734,0.1298096921317582,,,0.02254873749340771,0.15512547301755042,0.1497866129094315,-0.0920934437217486,-0.03853197336302131,-0.2927752994750456,0.15353980270003287,0.1335338972857697,,0.2857225093882811,-0.10419340165031268,-0.10419340165031268,0.3762048443053577,0.01753858226250554,-0.11989555472578428,,0.08460535552246017,,,,
7,,0.008292195280907957,,0.07180911535662457,,0.23680850160930034,0.10034341094833435,0.10763359119484352,,0.09911641555780576,-0.3720222126232736,0.04853646374573581,0.11853260423535361,,0.3067258542275069,-0.16423946252283447,-0.16423946252283447,0.2551997469780213,-0.07259199995840686,-0.1936500875589916,,-0.05025460243484117,,-0.05025460243484117,,-0.05025460243484117
8,,0.03160596824256278,,0.18887612034710563,,0.23503139361092382,-0.03944196093756072,0.062156901724174825,,0.12130062937844371,-0.38641933704705883,0.09803639766209728,0.2006225360986268,,0.29961859897289533,-0.20604201284613669,-0.20604201284613669,0.09281934087192224,-0.02418344932418375,-0.16575174119148084,,,,0.019778219928156416,,0.019778219928156416
9,-0.06311972490631045,-0.013489163811569019,0.2506201017340369,,,0.14519167774922687,-0.024922955719811027,-0.03360559371939189,0.11948403361432225,-0.008417018958236952,,0.04176092008106504,,-0.03523325722545177,0.33826358968731746,-0.13361679820513045,-0.13361679820513045,,0.0394370625138568,,0.0666276801074182,0.1278041914776266,,-0.06384250970685082,-0.06384250970685082,
