id,Arabic-female,Arabic-male,Arabic-neutral,Chinese-neutral,Chinese-neutral-informal,English-neutral,Farsi-neutral,French-female,French-male,French-neutral,German-female,German-male,Spanish-female,Spanish-male,Spanish-neutral,Urdu-english-arabic,Urdu-female,Urdu-male,Urdu-neutral,Wolof-neutral-en
0,-0.17393663733799453,0.08391354781144085,,-0.0010667738245375808,-0.48705703839412184,-0.321543733757515,-0.22618167586252547,-0.3448990725865607,0.11785503042346153,,0.3963364147443786,-0.003945746241935279,0.4726297513926519,-0.052155799978123175,,0.21743162871151245,,,0.21743162871151245,
1,0.010462514139528244,0.17740988530887036,,0.19528780001428692,-0.39229600208280935,-0.0842912539237744,-0.005606412293653997,-0.18306451370341612,0.075123497237696,0.0657826599464337,0.3482721404189387,-0.20933589068249453,0.2587522734798986,-0.1288844200224963,,,0.2472720180769912,-0.09799869639818243,,
2,-0.1915276494441774,0.20997057809451955,,0.10277659719654596,-0.14721188624365675,0.018041768109031582,0.06478853000377761,-0.39322514581742213,0.14585514790045187,0.14585514790045187,0.3266842300344508,-0.22467330490653356,0.4784607683342085,-0.20228068495875323,,,,-0.12265643748345893,,
3,-0.1864754129792681,0.17837624226230928,,0.23291201906231815,-0.20687747383663194,0.2579003142245566,0.15638862186690583,-0.10898971543757043,0.18684001212463652,,0.2895254062462207,-0.1959263197463072,0.4127863656248793,-0.2176017271570163,,,,,0.022365822864829302,
4,-0.16702995943038487,0.08887431461431726,,0.17254991820621404,-0.27833914503916185,0.0818631534389434,0.23419120642489819,,,0.01083439502424083,0.3215810592102705,-0.05630844799851236,0.17514216872714095,-0.06683077655742412,,,,,-0.14012276715811767,
5,-0.32982882341560377,-0.011350926502059946,,0.21922211754497797,-0.22199838883247325,0.17836930751258706,0.05493836062888575,-0.3769680972338869,0.19848828843239377,,0.3066695453961718,-0.19134053557351974,,,-0.08034846302549835,-0.007173738570522254,,-0.13341437234070944,,
6,-0.16806811380430095,0.13275675335510956,,0.02254873749340771,-0.3441093863002484,0.1497866129094315,-0.03853197336302131,-0.2927752994750456,0.1335338972857697,,0.2857225093882811,-0.10419340165031268,0.3762048443053577,-0.11989555472578428,,0.08460535552246017,,,,
7,,,0.053370032295867086,0.23680850160930034,-0.3388350451499502,0.10763359119484352,0.09911641555780576,-0.3720222126232736,0.11853260423535361,,0.3067258542275069,-0.16423946252283447,0.2551997469780213,-0.1936500875589916,,-0.05025460243484117,,,-0.05025460243484117,
8,,,0.1000080361402311,0.23503139361092382,-0.3122144209062999,0.062156901724174825,0.12130062937844371,-0.38641933704705883,0.2006225360986268,,0.29961859897289533,-0.20604201284613669,0.09281934087192224,-0.16575174119148084,,,,,0.019778219928156416,0.20767657976752182
9,-0.22332685299460056,0.16152408995766043,,0.14519167774922687,-0.3226554775664731,-0.03360559371939189,-0.008417018958236952,,,-0.03523325722545177,0.33826358968731746,-0.13361679820513045,,,0.0666276801074182,0.1278041914776266,,-0.06384250970685082,,
10,,,-0.06261075559223,0.055289128441695416,-0.32810805865625076,-0.12297650309575145,-0.06543566425790345,-0.37031599843426505,0.1668495675940711,0.1246012814497514,0.3417780805913996,-0.05221812075929179,0.40664887005145633,-0.14465218387031803,,0.20385139335353186,,0.08896188943284686,,
11,,,,0.15236583077168914,-0.08962779179889975,0.04364243950561839,0.039856437799128105,-0.3872951131174625,0.13117434095424638,0.03867773174230618,0.29680492615368564,-0.17566266814531561,,,-0.15499408949853674,,,,0.14977563322593915,
12,-0.1670228615406771,0.20621912878255402,,0.02067633042070157,-0.1937894726816207,-0.06301570660856265,0.11291975546114512,,,0.11044329236744742,0.3345038424399431,-0.10405896729391945,0.4209958218995368,-0.15325389784129917,,0.061619598453258186,,,-0.17859210586188481,
13,,,-0.08799238246708321,0.05529331081656132,-0.19172135792043676,-0.014283678282861294,-0.022857604054613418,-0.42403434329524253,0.181138449687914,,0.3212131797299,-0.11727609149818802,0.10199541633815466,-0.09422779987101405,,,,,,
14,-0.2310747535864853,0.10936807464511017,,0.12733884063753256,-0.23051919965358725,0.21301412311572948,0.17763602611460508,-0.31001652273697616,0.22005998441625432,,0.37380120698594627,-0.11770527585721238,0.37113251278170256,-0.169811628898282,,,,,-0.10035970568227967,
15,-0.0714257441855942,0.10409539207817073,,-0.057361984470911044,-0.34614518464855654,-0.14706801845789147,-0.03534227169015347,-0.14542671134744795,0.1919458376995043,,0.3155987210736757,-0.04381149142192906,0.35114615961039725,-0.17755179324781925,,,,,0.06915525810836487,
16,-0.01692356501633728,0.23877549242359491,,0.06471906746253461,-0.22623837980274705,0.10802643368304013,-0.06774808022302187,-0.33964134162683784,0.16811528186127978,,0.3149887619007788,-0.13370868539416625,0.02970678450238263,-0.14112688981687466,,,,,0.005531221154220696,
17,-0.11938819607584523,0.13191979389981068,,0.11974315382988077,-0.31882967297647136,0.013674076331650615,,,,0.019413876428034733,0.3424673718777278,-0.15954952825391763,,,0.030338199927844436,,,,0.058203176878009556,
18,-0.191997666827351,,,0.11734346405234056,-0.37811238612192366,-0.061298991929418116,-0.08421393500571851,-0.30610466149865867,0.059733628837539576,,0.3981506193125738,-0.11575619390541031,,,0.05210639174604975,0.03199145877982185,,,,
